Name	Clade	id
A.lyrata_lyrata_XP_002882024	MIKC_15	Aly__XP_002882024
A.lyrata_petraea_g11547.t1	MIKC_16a	Ape__jg3492
A.lyrata_lyrata_XP_020889288	MIKC_16a	Aly__XP_020889288
A.arenosa_MJ09_4_g23512.t1	MIKC_16a	Aaa__jg23512
A.arenosa_MJ09_4_g23514.t1	MIKC_16a	Aaa__jg23514
A.lyrata_lyrata_XP_020872031	MIKC_16a	Aly__XP_020872031
Athaliana_At5g65060_AGL70_MIKC	MIKC_16a	Ath__AT5G65060
Athaliana_At5g65050_AGL31_MIKC	MIKC_16b	Ath__AT5G65050
A.lyrata_lyrata_XP_020890340	MIKC_16b	Aly__XP_020890340
A.lyrata_petraea_g21640.t1	MIKC_16b	Ape__jg25374
A.arenosa_MJ09_4_g3374.t1	MIKC_16b	Aaa__jg3374
Athaliana_At1g77080_AGL27_MIKC	MIKC_16b	Ath__AT1G77080
A.lyrata_lyrata_XP_020889324	MIKC_16c	Aly__XP_020889324
A.lyrata_petraea_g11549.t1	MIKC_16c	Ape__jg3494
A.arenosa_MJ09_4_g23515.t1	MIKC_16c	Aaa__jg23515
Athaliana_At5g65070_AGL69_MIKC	MIKC_16c	Ath__AT5G65070
A.arenosa_MJ09_4_g23516.t1	MIKC_16d	Aaa__jg23516
Athaliana_At5g65080_AGL68_MIKC	MIKC_16d	Ath__AT5G65080
A.lyrata_lyrata_XP_020878014	MIKC_16e	Aly__XP_020878014
A.lyrata_petraea_g1127_1126.t1	MIKC_16e	Ape__jg31360
A.arenosa_MJ09_4_g4839.t1	MIKC_16e	Aaa__jg4839
A.arenosa_MJ09_4_g4842.t1	MIKC_16e	Aaa__jg4842
A.arenosa_MJ09_4_g4843.t1	MIKC_16e	Aaa__jg4843
Athaliana_At5g10140_AGL25_MIKC	MIKC_16e	Ath__AT5G10140
A.lyrata_lyrata_XP_002873441	MIKC_16e	Aly__XP_002873441
A.lyrata_petraea_g1130.t1	MIKC_16e	Ape__jg31363
A.lyrata_petraea_g26286.t1	MIKC_17	Ape__jg16854
Athaliana_At3g54340_APETALA3_MIKC	MIKC_17	Ath__AT3G54340
A.arenosa_MJ09_4_g15371.t1	MIKC_17	Aaa__jg15371
A.lyrata_lyrata_XP_020879680	MIKC_17	Aly__XP_020879680
A.lyrata_lyrata_XP_020875850	MIKC_18	Aly__XP_020875850
A.lyrata_petraea_g2273.t1	MIKC_18	Ape__jg32428
Athaliana_At5g20240_PISTILLATA_MIKC	MIKC_18	Ath__AT5G20240
A.arenosa_MJ09_4_g5889.t1	MIKC_18	Aaa__jg5889
A.lyrata_petraea_g44529.t1	MIKC_19	Ape__jg11798
A.lyrata_petraea_g11798.t1	MIKC_19	Ape__jg3721
A.arenosa_MJ09_4_g31720.t1	MIKC_19	Aaa__jg31720
Athaliana_At1g31140_AGL63_MIKC	MIKC_19	Ath__AT1G31140
A.lyrata_lyrata_XP_020876103	MIKC_20	Aly__XP_020876103
A.lyrata_petraea_g2615.t1	MIKC_20	Ape__jg32696
A.arenosa_MJ09_4_g6175.t1	MIKC_20	Aaa__jg6175
Athaliana_At5g23260_AGL32_MIKC	MIKC_20	Ath__AT5G23260
A.lyrata_lyrata_XP_020873029	MIKC_21a	Aly__XP_020873029
A.lyrata_petraea_g27737.t1	MIKC_21a	Ape__jg18174
A.arenosa_MJ09_4_g8537.t1	MIKC_21a	Aaa__jg8537
Athaliana_At4g37940_AGL21_MIKC	MIKC_21a	Ath__AT4G37940
A.arenosa_MJ09_4_g16690.t1	MIKC_21b	Aaa__jg16690
A.lyrata_lyrata_XP_002878626	MIKC_21b	Aly__XP_002878626
A.lyrata_petraea_g12222.t1	MIKC_21b	Ape__jg4066
Athaliana_At2g22630_AGL17_MIKC	MIKC_21b	Ath__AT2G22630
A.lyrata_lyrata_XP_002883829	MIKC_22	Aly__XP_002883829
A.lyrata_petraea_g37965.t1	MIKC_22	Ape__jg29367
A.arenosa_MJ09_4_g27446.t1	MIKC_22	Aaa__jg27446
Athaliana_At2g14210_AGL44_MIKC	MIKC_22	Ath__AT2G14210
A.lyrata_lyrata_XP_002876404	MIKC_23	Aly__XP_002876404
A.lyrata_petraea_g26639.t1	MIKC_23	Ape__jg17183
A.arenosa_MJ09_4_g15656.t1	MIKC_23	Aaa__jg15656
A.arenosa_MJ09_4_g15725.t1	MIKC_23	Aaa__jg15725
Athaliana_At3g57230_AGL16_MIKC	MIKC_24	Ath__AT3G57230
Athaliana_At4g24540_AGL24_MIKC	MIKC_24	Ath__AT4G24540
A.lyrata_lyrata_XP_020873725	MIKC_24	Aly__XP_020873725
A.lyrata_petraea_g29440.t1	MIKC_24	Ape__jg19763
A.arenosa_MJ09_4_g10023.t1	MIKC_24	Aaa__jg10023
A.lyrata_lyrata_XP_020884932	MIKC_25	Aly__XP_020884932
A.lyrata_petraea_g12213.t1	MIKC_25	Ape__jg4058
A.arenosa_MJ09_4_g16681.t1	MIKC_25	Aaa__jg16681
Athaliana_At2g22540_AGL22_MIKC	MIKC_25	Ath__AT2G22540
A.arenosa_MJ09_4_g5189.t1	MIKC_26	Aaa__jg5189
A.lyrata_lyrata_XP_020879445	MIKC_26	Aly__XP_020879445
A.lyrata_petraea_g1544.t1	MIKC_26	Ape__jg31738
Athaliana_At5g13790_AGL15_MIKC	MIKC_26	Ath__AT5G13790
A.arenosa_MJ09_4_g15750.t1	MIKC_27	Aaa__jg15750
Athaliana_At3g57390_AGL18_MIKC	MIKC_27	Ath__AT3G57390
A.lyrata_lyrata_XP_020882293	MIKC_27	Aly__XP_020882293
A.lyrata_petraea_g26654.t1	MIKC_27	Ape__jg17198
