Treeorder	phy_name	genome_name	Clade	id
563	A.thaliana_At5g65070_AGL69_MIKC	NA	MIKC - 24	Ath__AT5G65070
564	A.arenosa_MJ09_4_g23516.t1	NA	MIKC - 25	Aaa__jg23516
566	A.thaliana_At5g65080_AGL68_MIKC	NA	MIKC - 25	Ath__AT5G65080
569	A.lyrata_petraea_g1127_1126.t1	A.lyrata_petraea_g31360	MIKC - 26	Ape__jg31360
570	A.arenosa_MJ09_4_g4839.t1	NA	MIKC - 26	Aaa__jg4839
571	A.arenosa_MJ09_4_g4842.t1	NA	MIKC - 26	Aaa__jg4842
572	A.arenosa_MJ09_4_g4843.t1	NA	MIKC - 26	Aaa__jg4843
573	A.thaliana_At5g10140_AGL25_MIKC	NA	MIKC - 26	Ath__AT5G10140
575	A.lyrata_petraea_g1130.t1	A.lyrata_petraea_g31360	MIKC - 26	Ape__jg31363
577	A.lyrata_petraea_g26286.t1	A.lyrata_petraea_g16854	MIKC - 27	Ape__jg16854
578	A.thaliana_At3g54340_APETALA3_MIKC	NA	MIKC - 27	Ath__AT3G54340
579	A.arenosa_MJ09_4_g15371.t1	NA	MIKC - 27	Aaa__jg15371
584	A.lyrata_petraea_g2273.t1	A.lyrata_petraea_g32428	MIKC - 28	Ape__jg32428
585	A.thaliana_At5g20240_PISTILLATA_MIKC	NA	MIKC - 28	Ath__AT5G20240
586	A.arenosa_MJ09_4_g5889.t1	NA	MIKC - 28	Aaa__jg5889
588	A.lyrata_petraea_g44529.t1	A.lyrata_petraea_g11798	MIKC - 29	Ape__jg11798
589	A.lyrata_petraea_g11798.t1	A.lyrata_petraea_g3523	MIKC - 29	Ape__jg3721
590	A.arenosa_MJ09_4_g31720.t1	NA	MIKC - 29	Aaa__jg31720
592	A.thaliana_At1g31140_AGL63_MIKC	NA	MIKC - 29	Ath__AT1G31140
595	A.lyrata_petraea_g2615.t1	A.lyrata_petraea_g32696	MIKC - 30	Ape__jg32696
596	A.arenosa_MJ09_4_g6175.t1	NA	MIKC - 30	Aaa__jg6175
599	A.thaliana_At5g23260_AGL32_MIKC	NA	MIKC - 30	Ath__AT5G23260
602	A.lyrata_petraea_g27737.t1	A.lyrata_petraea_g18174	MIKC - 31	Ape__jg18174
605	A.arenosa_MJ09_4_g8537.t1	NA	MIKC - 31	Aaa__jg8537
606	A.thaliana_At4g37940_AGL21_MIKC	NA	MIKC - 31	Ath__AT4G37940
607	A.arenosa_MJ09_4_g16690.t1	NA	MIKC - 32	Aaa__jg16690
611	A.lyrata_petraea_g12222.t1	A.lyrata_petraea_g4066	MIKC - 32	Ape__jg4066
612	A.thaliana_At2g22630_AGL17_MIKC	NA	MIKC - 32	Ath__AT2G22630
614	A.lyrata_petraea_g37965.t1	A.lyrata_petraea_g29367	MIKC - 33	Ape__jg29367
616	A.arenosa_MJ09_4_g27446.t1	NA	MIKC - 33	Aaa__jg27446
617	A.thaliana_At2g14210_AGL44_MIKC	NA	MIKC - 33	Ath__AT2G14210
619	A.lyrata_petraea_g26639.t1	A.lyrata_petraea_g17183	MIKC - 34	Ape__jg17183
621	A.arenosa_MJ09_4_g15656.t1	NA	MIKC - 34	Aaa__jg15656
622	A.arenosa_MJ09_4_g15725.t1	NA	MIKC - 34	Aaa__jg15725
624	A.thaliana_At3g57230_AGL16_MIKC	NA	MIKC - 34	Ath__AT3G57230
626	A.thaliana_At4g24540_AGL24_MIKC	NA	MIKC - 35	Ath__AT4G24540
628	A.lyrata_petraea_g29440.t1	A.lyrata_petraea_g19763	MIKC - 35	Ape__jg19763
630	A.arenosa_MJ09_4_g10023.t1	NA	MIKC - 35	Aaa__jg10023
632	A.lyrata_petraea_g12213.t1	A.lyrata_petraea_g4058	MIKC - 36	Ape__jg4058
633	A.arenosa_MJ09_4_g16681.t1	NA	MIKC - 36	Aaa__jg16681
635	A.thaliana_At2g22540_AGL22_MIKC	NA	MIKC - 36	Ath__AT2G22540
639	A.arenosa_MJ09_4_g5189.t1	NA	MIKC - 37	Aaa__jg5189
642	A.lyrata_petraea_g1544.t1	A.lyrata_petraea_g31738	MIKC - 37	Ape__jg31738
643	A.thaliana_At5g13790_AGL15_MIKC	NA	MIKC - 37	Ath__AT5G13790
644	A.arenosa_MJ09_4_g15750.t1	NA	MIKC - 38	Aaa__jg15750
646	A.thaliana_At3g57390_AGL18_MIKC	NA	MIKC - 38	Ath__AT3G57390
649	A.lyrata_petraea_g26654.t1	A.lyrata_petraea_g17198	MIKC - 38	Ape__jg17198
